"beskæftiget" "udlænding" "understøttelse" "alder" "uddannelse" "yngre.børn" "skole.børn"
"nej" "nej" 10.67489 57 4 0 0
"nej" "nej" 10.688645 54 4 0 0
"nej" "nej" 10.185521 59 8 0 0
"ja" "nej" 11.672285 51 18 0 1
"nej" "nej" 10.795038 26 12 1 0
"ja" "nej" 10.972098 43 10 0 2
"nej" "nej" 10.556449 38 9 0 2
"ja" "nej" 10.704404 39 8 0 2
"ja" "nej" 10.428636 53 9 0 0
"nej" "nej" 11.051191 38 10 0 1
"ja" "nej" 10.851682 48 7 0 0
"ja" "nej" 10.482903 41 9 0 0
"nej" "nej" 10.788455 55 12 0 0
"nej" "nej" 10.535781 30 13 1 0
"ja" "nej" 10.131345 58 8 0 0
"nej" "nej" 10.413317 28 8 2 0
"ja" "nej" 10.550204 36 15 0 0
"nej" "nej" 10.678824 50 4 0 1
"nej" "nej" 10.845567 27 10 1 1
"ja" "nej" 10.326767 55 8 0 0
"nej" "nej" 10.756853 28 12 1 0
"ja" "nej" 10.687163 45 8 0 2
"ja" "nej" 10.69541 39 4 0 0
"ja" "nej" 10.447811 30 9 0 1
"ja" "nej" 11.010256 53 8 0 0
"nej" "nej" 10.704237 23 10 2 0
"nej" "nej" 10.913541 58 13 0 0
"nej" "nej" 10.23621 44 9 0 1
"nej" "nej" 11.76194 52 9 0 1
"nej" "nej" 10.485152 24 12 1 0
"ja" "nej" 11.147722 48 9 0 0
"nej" "nej" 11.153504 38 11 0 2
"nej" "nej" 10.645516 56 11 0 0
"ja" "nej" 10.777797 50 8 0 0
"ja" "nej" 10.986342 43 14 0 3
"nej" "nej" 10.628565 28 10 0 2
"nej" "nej" 10.916267 56 12 0 0
"ja" "nej" 10.702699 36 12 0 2
"nej" "nej" 10.952528 47 11 0 1
"ja" "nej" 10.382414 37 11 0 0
"nej" "nej" 10.698292 46 11 0 0
"nej" "nej" 11.051727 57 9 0 0
"nej" "nej" 10.656841 33 10 0 2
"nej" "nej" 10.554549 47 8 0 2
"nej" "nej" 11.692279 45 14 0 2
"ja" "nej" 11.472848 42 13 0 3
"nej" "nej" 11.656427 33 11 2 2
"ja" "nej" 10.696645 45 12 0 2
"ja" "nej" 10.839479 39 9 0 1
"ja" "nej" 10.795194 33 10 0 3
"ja" "nej" 10.379617 29 4 1 1
"ja" "nej" 10.886384 44 13 0 2
"nej" "nej" 11.363417 33 15 0 3
"nej" "nej" 11.132031 26 11 1 0
"ja" "nej" 10.899869 32 12 0 0
"nej" "nej" 11.160232 29 12 1 2
"ja" "nej" 10.058137 60 9 0 0
"ja" "nej" 10.73593 39 11 0 2
"ja" "nej" 9.680395 47 9 0 0
"nej" "nej" 11.150011 34 8 0 3
"ja" "nej" 7.186901 57 12 0 0
"nej" "nej" 10.762847 33 12 0 2
"nej" "nej" 10.641994 56 8 0 0
"ja" "nej" 10.821105 55 9 0 0
"nej" "nej" 11.697144 37 13 0 3
"ja" "nej" 10.867016 54 8 0 0
"ja" "nej" 11.597597 33 14 1 2
"nej" "nej" 11.34655 52 4 0 1
"ja" "nej" 10.440166 25 13 0 0
"ja" "nej" 10.786756 47 8 0 1
"nej" "nej" 10.693526 42 9 0 2
"nej" "nej" 10.639603 31 12 0 2
"nej" "nej" 10.391253 30 11 1 0
"nej" "nej" 11.094102 58 4 0 0
"ja" "nej" 9.952297 57 15 0 0
"nej" "nej" 10.881145 60 8 0 0
"ja" "nej" 10.945509 44 11 0 1
"nej" "nej" 10.723123 26 8 1 2
"ja" "nej" 10.778036 59 12 0 0
"nej" "nej" 10.410974 21 12 1 0
"ja" "nej" 10.331526 50 9 0 0
"nej" "nej" 11.038619 45 9 0 0
"nej" "nej" 10.427884 44 8 0 1
"nej" "nej" 9.903508 24 8 1 0
"nej" "nej" 10.415019 31 10 0 1
"nej" "nej" 11.552967 47 7 0 1
"nej" "nej" 10.726891 49 7 0 1
"ja" "nej" 10.719912 45 3 0 4
"ja" "nej" 10.635413 36 9 0 3
"ja" "nej" 10.607927 43 8 0 1
"ja" "nej" 10.89815 57 8 0 0
"nej" "nej" 10.564245 28 10 0 1
"nej" "nej" 11.0089 43 12 1 0
"nej" "nej" 10.966264 57 11 0 1
"nej" "nej" 11.094889 51 8 0 0
"nej" "nej" 10.949635 27 12 1 0
"nej" "nej" 11.142022 32 14 3 0
"ja" "nej" 10.955511 38 12 0 1
"nej" "nej" 9.999619 61 11 0 0
"ja" "nej" 10.883356 33 11 2 0
"ja" "nej" 10.725962 44 11 0 0
"nej" "nej" 10.379433 42 8 0 0
"ja" "nej" 10.517781 59 8 0 0
"nej" "nej" 10.960598 34 8 0 1
"nej" "nej" 11.017487 26 13 1 1
"nej" "nej" 10.630611 31 11 1 1
"nej" "nej" 10.879928 41 9 0 1
"nej" "nej" 10.556337 56 11 0 0
"nej" "nej" 10.873372 36 12 0 2
"nej" "nej" 10.974541 47 12 0 0
"nej" "nej" 11.213668 38 12 0 3
"nej" "nej" 10.565516 39 9 1 2
"nej" "nej" 10.757045 52 8 0 1
"ja" "nej" 10.218074 43 4 0 0
"ja" "nej" 10.771807 49 11 0 0
"nej" "nej" 10.645901 31 16 1 2
"ja" "nej" 10.609652 38 11 0 2
"nej" "nej" 10.497103 49 4 0 0
"ja" "nej" 11.286425 36 11 0 2
"ja" "nej" 10.713582 28 10 1 1
"nej" "nej" 11.080241 31 12 2 0
"ja" "nej" 10.765547 39 12 0 2
"nej" "nej" 11.787341 38 14 0 2
"nej" "nej" 11.404879 54 13 0 0
"ja" "nej" 10.593832 45 12 0 1
"ja" "nej" 10.56617 27 8 0 0
"ja" "nej" 11.153773 43 9 0 0
"nej" "nej" 10.644508 61 8 0 0
"ja" "nej" 10.962912 30 15 1 1
"ja" "nej" 10.952085 26 10 1 2
"ja" "nej" 11.006509 51 12 0 0
"nej" "nej" 10.50368 59 9 0 0
"nej" "nej" 10.522554 58 14 0 0
"ja" "nej" 10.443773 31 11 0 0
"nej" "nej" 10.363842 59 4 0 0
"nej" "nej" 10.868344 41 9 0 1
"nej" "nej" 10.708355 25 10 1 0
"ja" "nej" 10.959935 45 11 0 4
"nej" "nej" 10.545824 23 12 0 0
"ja" "nej" 10.635506 42 10 0 2
"nej" "nej" 10.674844 33 8 0 2
"nej" "nej" 10.600635 46 8 0 1
"nej" "nej" 10.261245 30 4 2 0
"ja" "nej" 10.618609 36 10 0 4
"ja" "nej" 10.084304 25 12 0 0
"ja" "nej" 11.232703 41 12 0 2
"ja" "nej" 10.614631 21 10 0 0
"ja" "nej" 10.891872 38 12 0 0
"nej" "nej" 10.987128 34 9 0 3
"ja" "nej" 10.901279 55 8 0 0
"nej" "nej" 10.996947 43 11 0 2
"nej" "nej" 10.573843 59 8 0 0
"ja" "nej" 10.530697 38 12 0 2
"ja" "nej" 10.750773 43 9 0 0
"ja" "nej" 10.303822 22 8 0 0
"ja" "nej" 11.071775 36 11 0 2
"ja" "nej" 10.933235 28 9 0 1
"nej" "nej" 10.765986 30 9 1 1
"ja" "nej" 10.808117 51 11 0 0
"ja" "nej" 11.130052 44 9 0 0
"ja" "nej" 10.139643 20 11 0 0
"ja" "nej" 10.446164 47 12 0 0
"ja" "nej" 10.497118 41 7 0 0
"nej" "nej" 10.502569 42 8 0 2
"nej" "nej" 10.813208 31 10 0 0
"ja" "nej" 10.819643 61 4 0 0
"nej" "nej" 10.965238 37 8 0 2
"nej" "nej" 10.94079 38 12 0 2
"nej" "nej" 10.698575 28 12 1 1
"nej" "nej" 10.557849 20 12 1 0
"nej" "nej" 10.869824 51 8 0 0
"ja" "nej" 10.486398 21 9 0 0
"nej" "nej" 10.651588 22 12 1 0
"ja" "nej" 10.741222 26 9 0 0
"nej" "nej" 10.63413 57 9 0 0
"ja" "nej" 10.576883 34 9 0 2
"nej" "nej" 11.29929 28 12 0 0
"ja" "nej" 10.480109 32 10 2 0
"nej" "nej" 10.453177 21 14 1 0
"ja" "nej" 10.471801 38 9 0 1
"nej" "nej" 9.743722 61 4 0 0
"nej" "nej" 10.639916 43 9 0 0
"nej" "nej" 10.621275 28 12 3 1
"ja" "nej" 10.842806 27 11 1 0
"nej" "nej" 11.257013 34 17 1 0
"ja" "nej" 10.245578 40 9 0 6
"nej" "nej" 10.954252 49 9 0 0
"nej" "nej" 10.986144 31 11 2 0
"nej" "nej" 10.479591 26 10 2 0
"ja" "nej" 10.616295 40 6 0 3
"ja" "nej" 10.464226 37 8 0 3
"nej" "nej" 10.482289 21 11 1 0
"ja" "nej" 10.692477 33 9 0 3
"ja" "nej" 10.110817 34 16 0 2
"ja" "nej" 10.775342 23 12 0 0
"ja" "nej" 10.511332 39 8 0 3
"nej" "nej" 10.908272 52 10 0 1
"nej" "nej" 11.270174 35 3 0 2
"nej" "nej" 11.305993 56 12 0 0
"nej" "nej" 11.344299 51 10 0 0
"ja" "nej" 10.563152 43 9 0 1
"ja" "nej" 10.758702 52 8 0 0
"nej" "nej" 10.77885 49 10 0 0
"ja" "nej" 10.779335 36 10 0 2
"ja" "nej" 10.517219 23 15 0 0
"nej" "nej" 11.410587 42 5 0 2
"nej" "nej" 10.5381 58 8 0 0
"nej" "nej" 10.406401 57 9 0 0
"nej" "nej" 10.924246 34 12 0 2
"nej" "nej" 10.549157 56 13 0 0
"nej" "nej" 10.835671 58 10 0 0
"nej" "nej" 10.43276 60 12 0 0
"ja" "nej" 11.244346 49 11 0 0
"ja" "nej" 10.714287 50 12 0 0
"nej" "nej" 11.07037 41 12 0 2
"nej" "nej" 11.762758 46 12 0 1
"ja" "nej" 10.560963 28 12 2 0
"ja" "nej" 10.706676 33 13 0 0
"nej" "nej" 10.741618 33 12 0 1
"ja" "nej" 10.465761 27 13 1 1
"nej" "nej" 10.850747 51 10 0 0
"ja" "nej" 10.507702 51 5 0 1
"nej" "nej" 10.205067 60 9 0 0
"nej" "nej" 10.722933 29 12 2 0
"ja" "nej" 10.699512 28 14 0 2
"ja" "nej" 10.935753 35 12 0 2
"nej" "nej" 12.247989 35 16 1 2
"nej" "nej" 10.840948 48 9 0 0
"nej" "nej" 10.809457 32 10 0 2
"ja" "nej" 11.275831 35 12 0 2
"ja" "nej" 10.659463 27 5 1 0
"ja" "nej" 10.520523 26 13 2 0
"ja" "nej" 10.539925 36 16 0 1
"nej" "nej" 11.121529 40 11 0 4
"nej" "nej" 10.109396 26 7 2 0
"ja" "nej" 10.494469 20 12 0 0
"nej" "nej" 10.711324 39 10 1 3
"nej" "nej" 10.446385 28 9 1 0
"ja" "nej" 10.852547 42 14 0 2
"nej" "nej" 10.805715 23 12 1 0
"nej" "nej" 10.628192 24 9 2 0
"nej" "nej" 10.49979 25 16 2 0
"ja" "nej" 10.723695 34 12 0 1
"nej" "nej" 10.999623 37 9 0 2
"ja" "nej" 10.261038 49 15 0 0
"ja" "nej" 9.866105 36 9 0 2
"ja" "nej" 10.580137 37 8 0 2
"ja" "nej" 10.550487 28 13 1 1
"ja" "nej" 10.627829 43 5 0 2
"ja" "nej" 10.4651 52 5 0 0
"ja" "nej" 10.465806 35 13 0 2
"nej" "nej" 10.630966 55 10 0 0
"nej" "nej" 10.434609 57 5 0 0
"nej" "nej" 10.625388 44 9 0 2
"nej" "nej" 10.680572 25 10 2 0
"ja" "nej" 10.892263 38 14 0 3
"ja" "nej" 10.230812 37 9 0 1
"nej" "nej" 10.948595 49 8 0 1
"nej" "nej" 10.878098 46 10 0 0
"ja" "nej" 10.521214 27 13 0 1
"ja" "nej" 10.143847 51 9 0 0
"ja" "nej" 10.590745 48 11 0 2
"nej" "nej" 10.49173 26 11 1 2
"ja" "nej" 9.555266 44 13 0 0
"nej" "nej" 10.738894 50 11 0 0
"nej" "nej" 10.625338 48 6 0 0
"ja" "nej" 10.729806 41 10 0 2
"ja" "nej" 11.3456 38 12 0 0
"ja" "nej" 10.881607 35 13 0 1
"ja" "nej" 10.738787 42 15 0 1
"ja" "nej" 10.63154 45 11 0 2
"ja" "nej" 10.513256 44 9 0 1
"nej" "nej" 10.930967 56 12 0 0
"ja" "nej" 11.219622 29 13 1 0
"ja" "nej" 10.705048 46 12 0 1
"nej" "nej" 10.673697 33 11 1 1
"nej" "nej" 11.045694 28 14 1 1
"nej" "nej" 10.832491 50 14 0 0
"ja" "nej" 10.761609 27 14 0 0
"ja" "nej" 10.724068 38 11 0 0
"nej" "nej" 10.623711 50 5 0 0
"ja" "nej" 10.494012 21 11 1 0
"nej" "nej" 10.452885 24 7 1 1
"nej" "nej" 10.09352 55 9 0 0
"nej" "nej" 11.456245 38 11 0 2
"nej" "nej" 10.850163 33 7 0 2
"nej" "nej" 10.813476 60 10 0 0
"nej" "nej" 10.763189 53 6 0 0
"nej" "nej" 11.02583 29 11 1 0
"ja" "nej" 10.077104 40 10 0 1
"ja" "nej" 10.66022 39 12 0 2
"ja" "nej" 10.801198 34 14 1 1
"ja" "nej" 10.59889 48 4 0 1
"ja" "nej" 10.449333 35 13 0 0
"nej" "nej" 11.346352 30 9 1 0
"nej" "nej" 11.659979 25 11 1 0
"nej" "nej" 9.937027 59 9 0 0
"nej" "nej" 11.064019 51 19 0 2
"nej" "nej" 10.5383 39 9 0 2
"nej" "nej" 10.69059 59 10 0 0
"nej" "nej" 10.65591 40 8 0 2
"nej" "nej" 9.398499 36 8 1 0
"nej" "nej" 10.649899 48 8 0 2
"nej" "nej" 10.526564 21 11 1 0
"nej" "nej" 10.236696 58 5 0 0
"nej" "nej" 10.225496 60 8 0 0
"nej" "nej" 11.047337 48 11 0 1
"ja" "nej" 11.304028 35 13 0 1
"nej" "nej" 10.554331 49 11 0 0
"ja" "nej" 10.260208 44 7 0 1
"nej" "nej" 11.383919 47 13 0 0
"nej" "nej" 10.737768 53 8 0 0
"nej" "nej" 10.888288 46 12 0 2
"nej" "nej" 11.816648 54 13 0 2
"nej" "nej" 9.994667 59 11 0 0
"nej" "nej" 10.754622 57 10 0 0
"nej" "nej" 10.44249 42 5 0 0
"nej" "nej" 10.009821 62 11 0 0
"nej" "nej" 10.583045 46 4 0 2
"nej" "nej" 10.811378 35 12 0 2
"nej" "nej" 10.958915 32 12 2 0
"nej" "nej" 9.946032 35 12 0 2
"nej" "nej" 10.498668 40 11 0 2
"ja" "nej" 10.5957 25 14 0 0
"nej" "nej" 10.525842 40 12 0 1
"nej" "nej" 10.783294 29 10 0 0
"nej" "nej" 11.11614 37 11 0 2
"nej" "nej" 11.151357 53 5 0 1
"nej" "nej" 9.824778 60 9 0 0
"ja" "nej" 9.895686 42 9 0 3
"nej" "nej" 10.655496 32 12 0 3
"nej" "nej" 9.763989 59 5 0 0
"ja" "nej" 9.878902 45 8 0 1
"nej" "nej" 11.134995 51 8 0 1
"ja" "nej" 10.401523 35 8 0 0
"nej" "nej" 10.749253 28 11 0 0
"nej" "nej" 10.333153 57 5 0 0
"ja" "nej" 10.823801 26 7 1 0
"ja" "nej" 10.321485 42 5 0 0
"nej" "nej" 10.656044 31 12 1 1
"nej" "nej" 10.657436 55 8 0 0
"nej" "nej" 10.846169 42 15 0 2
"nej" "nej" 11.078196 40 11 0 3
"nej" "nej" 10.453034 47 11 0 0
"nej" "nej" 10.654172 47 9 0 1
"ja" "nej" 10.646433 26 13 1 0
"nej" "nej" 11.280745 44 9 1 0
"nej" "nej" 10.583034 23 9 0 1
"nej" "nej" 10.871061 50 8 0 0
"nej" "nej" 10.263108 58 12 0 0
"ja" "nej" 11.067098 40 9 0 2
"ja" "nej" 10.517282 33 12 0 2
"ja" "nej" 11.172825 30 15 0 0
"nej" "nej" 10.596755 31 12 1 0
"nej" "nej" 11.797981 31 12 2 0
"ja" "nej" 10.552378 33 9 1 1
"nej" "nej" 10.794188 35 12 0 2
"ja" "nej" 10.139508 26 11 0 0
"nej" "nej" 10.855759 24 14 1 0
"nej" "nej" 10.96235 61 5 0 0
"nej" "nej" 10.757639 29 10 0 1
"ja" "nej" 9.554492 59 8 0 0
"nej" "nej" 10.505683 27 12 1 0
"nej" "nej" 9.855987 62 11 0 0
"ja" "nej" 10.790935 44 12 0 0
"ja" "nej" 10.652796 36 10 0 0
"nej" "nej" 10.539981 40 11 0 2
"nej" "nej" 11.339795 48 10 0 1
"ja" "nej" 11.224238 35 16 0 2
"nej" "nej" 11.109163 32 12 1 1
"nej" "nej" 10.866395 32 12 1 0
"nej" "nej" 11.186703 49 8 0 0
"ja" "nej" 10.192269 43 11 0 1
"nej" "nej" 12.37565 39 12 0 4
"nej" "nej" 10.472476 27 11 1 1
"nej" "nej" 12.281528 42 12 0 3
"nej" "nej" 10.537006 56 12 0 1
"nej" "nej" 10.899256 31 13 0 3
"ja" "nej" 10.658714 37 4 0 2
"nej" "nej" 10.441724 38 8 0 1
"nej" "nej" 10.407655 51 8 0 0
"nej" "nej" 10.694172 50 9 0 0
